title,0
Self-Control,0.4961832061068701
Adeline Mowbray,0.43551945162420347
Camilla,0.2680428078471645
Walsingham,0.2161917311810245
Marriage,0.21132844791686087
The Cottagers of Glenburnie,0.2044004496809893
Vivian,0.19627538591204552
The Last of the Mohicans,0.1883074522674235
Memoirs of Emma Courtney,0.1845330544833843
Anna St. Ives,0.16935428386953366
Zofloya,0.1625074905796439
Caleb Williams,0.15736179529282981
Persuasion,0.15602121888576848
Maria,0.15564894492250908
The Recess,0.14725748932383204
Frankenstein,0.1373645242379703
Henry,0.13462677611182486
The Private Memoirs and Confessions of a Justified Sinner,0.13078111996195457
The Wild Irish Girl,0.1254644597789895
Julia,0.12176807241141374
A Simple Story,0.11248910261818384
Emma,0.10703200256876803
Glenarvon,0.10028614981413632
Melmoth the Wanderer,0.09018463253861543
Ivanhoe,0.08830022075055186
Waverley,0.07660597239312271
The Mysteries of Udolpho,0.07528342498519996
Arthur Mervyn,0.07356530927524796
Hobomok,0.07248609173114909
The Coquette,0.06763154335181928
Evelina,0.06449116471043467
Belinda,0.043945902593906905
The Monk,0.04344111556784778
The Old Manor House,0.031324395439168026
The Heroine,0.029155085618768103
The Banished Man,0.023030596146981264
The Asylum,0.020798236309560948
Hermsprong,0.019146817798881825
Annals of the Parish,0.015204269358835962
Charlotte Temple,0.0
